customerID,Churn,Genero,customer.SeniorCitizen,Pareja,Dependientes,customer.tenure,ServicioTelefono,LineasMultiples,ServicioInternet,SeguridadOnline,RespaldoOnline,ProteccionDispositivo,SoporteTecnico,StreamingTV,StreamingPeliculas,Contrato,FacturacionSinPapel,MetodoPago,account.Charges.Monthly,TotalFacturado,Cuentas_Diarias
0023-XUOPT,1,0,0,1,0,13,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,0,0,Electronic check,94.1,1215.6,3.1169230769230767
0027-KWYKW,0,0,0,1,1,23,1,Yes,Fiber optic,No,No,No,No,Yes,No,0,1,Electronic check,83.75,1849.95,2.6810869565217392
0030-FNXPP,0,0,0,0,0,3,1,No,No,No,No,No,No,No,No,0,0,Mailed check,19.85,57.2,0.6355555555555555
0031-PVLZI,1,0,0,1,1,4,1,No,No,No,No,No,No,No,No,0,0,Mailed check,20.35,76.35,0.63625
0032-PGELS,1,0,0,1,1,1,0,No,DSL,Yes,No,No,No,No,No,0,0,Bank transfer (automatic),30.5,30.5,1.0166666666666666
0036-IHMOT,0,0,0,1,1,55,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,1,1,Bank transfer (automatic),103.7,5656.75,3.4283333333333332
0040-HALCW,0,1,0,1,1,54,1,No,No,No,No,No,No,No,No,2,0,Credit card (automatic),20.4,1090.6,0.6732098765432099
0042-JVWOJ,0,1,0,0,0,26,1,No,No,No,No,No,No,No,No,1,1,Bank transfer (automatic),19.6,471.85,0.6049358974358975
0042-RLHYP,0,0,0,1,1,69,1,No,No,No,No,No,No,No,No,2,0,Bank transfer (automatic),19.7,1396.9,0.6748309178743962
0048-LUMLS,0,1,0,1,1,37,1,No,Fiber optic,No,No,No,No,Yes,Yes,1,0,Credit card (automatic),91.2,3247.55,2.925720720720721
0048-PIHNL,0,0,0,1,0,49,1,No,No,No,No,No,No,No,No,1,0,Bank transfer (automatic),20.45,900.9,0.6128571428571429
0052-DCKON,0,1,0,1,0,66,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,1,0,Bank transfer (automatic),115.8,7942.15,4.011186868686869
0052-YNYOT,0,0,0,0,0,67,1,No,No,No,No,No,No,No,No,1,0,Electronic check,20.55,1343.4,0.6683582089552239
0056-EPFBG,0,1,0,1,1,20,0,No,DSL,Yes,No,Yes,Yes,No,No,2,1,Credit card (automatic),39.4,825.4,1.3756666666666666
0057-QBUQH,0,0,0,0,1,43,1,Yes,No,No,No,No,No,No,No,2,1,Electronic check,25.1,1070.15,0.8295736434108528
0058-EVZWM,0,0,0,1,0,55,1,Yes,Fiber optic,Yes,No,No,No,Yes,No,0,1,Bank transfer (automatic),89.8,4959.6,3.005818181818182
0060-FUALY,0,0,0,1,0,59,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,0,1,Electronic check,94.75,5597.65,3.1625141242937853
0064-SUDOG,0,0,0,1,1,12,1,No,No,No,No,No,No,No,No,2,0,Bank transfer (automatic),20.3,224.5,0.6236111111111111
0064-YIJGF,0,1,0,1,1,27,1,Yes,Fiber optic,No,No,No,No,No,No,0,1,Bank transfer (automatic),75.75,1929.0,2.3814814814814813
0067-DKWBL,1,1,1,0,0,2,1,No,DSL,Yes,No,No,No,No,No,0,1,Electronic check,49.25,91.1,1.5183333333333333
0068-FIGTF,0,0,0,0,0,27,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes,1,0,Mailed check,78.2,2078.95,2.5666049382716047
0071-NDAFP,0,1,0,1,1,25,1,Yes,No,No,No,No,No,No,No,2,0,Credit card (automatic),25.5,630.6,0.8408
0074-HDKDG,0,1,0,1,1,25,1,No,DSL,Yes,Yes,Yes,No,No,No,1,1,Bank transfer (automatic),61.6,1611.0,2.148
0076-LVEPS,0,1,0,0,1,29,0,No,DSL,Yes,Yes,Yes,Yes,No,No,0,1,Mailed check,45.0,1242.45,1.428103448275862
0078-XZMHT,0,1,0,1,0,72,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,2,1,Bank transfer (automatic),85.15,6316.2,2.924166666666667
0080-EMYVY,0,0,0,0,0,14,1,No,DSL,No,Yes,No,No,No,No,1,0,Credit card (automatic),51.45,727.85,1.7329761904761904
0080-OROZO,0,0,0,0,0,35,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,1,1,Electronic check,99.25,3532.0,3.363809523809524
0082-LDZUE,0,1,0,0,0,1,1,No,DSL,No,No,No,No,No,No,0,1,Mailed check,44.3,44.3,1.4766666666666666
0082-OQIQY,0,1,0,0,0,29,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,0,1,Electronic check,94.2,2607.6,2.9972413793103447
0083-PIVIK,0,1,0,0,0,64,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,1,0,Electronic check,81.25,5567.55,2.899765625
0089-IIQKO,0,0,0,1,1,39,1,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,0,1,Credit card (automatic),99.95,3767.4,3.22
0093-EXYQL,0,0,1,0,0,40,1,No,Fiber optic,No,No,No,No,Yes,Yes,0,1,Electronic check,91.55,3673.6,3.0613333333333332
0093-XWZFY,1,1,0,0,0,40,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,0,1,Credit card (automatic),104.5,4036.85,3.3640416666666666
0094-OIFMO,1,0,1,0,0,11,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,0,1,Electronic check,95.0,1120.3,3.3948484848484846
0096-BXERS,0,0,0,1,0,6,1,Yes,DSL,No,No,No,No,No,No,0,0,Electronic check,50.35,314.55,1.7475
0096-FCPUF,0,1,0,0,0,30,1,Yes,DSL,Yes,No,No,No,No,Yes,0,1,Mailed check,64.5,1888.45,2.0982777777777777
0098-BOWSO,0,1,0,0,0,27,1,No,No,No,No,No,No,No,No,0,1,Electronic check,19.4,529.8,0.654074074074074
0100-DUVFC,0,1,1,1,0,70,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,1,1,Electronic check,104.8,7308.95,3.480452380952381
0103-CSITQ,0,0,0,1,0,57,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,1,1,Bank transfer (automatic),109.4,6252.7,3.656549707602339
0104-PPXDV,0,1,0,1,0,58,1,No,DSL,No,No,Yes,No,No,No,1,0,Credit card (automatic),50.3,2878.55,1.6543390804597702
0106-GHRQR,0,1,0,0,0,16,1,Yes,DSL,No,Yes,Yes,No,No,Yes,0,1,Bank transfer (automatic),71.4,1212.1,2.525208333333333
0106-UGRDO,0,0,0,1,0,69,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,2,1,Electronic check,116.0,8182.85,3.953067632850242
0107-WESLM,1,1,0,0,0,1,1,No,No,No,No,No,No,No,No,0,1,Electronic check,19.85,19.85,0.6616666666666667
0107-YHINA,1,1,0,0,1,1,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0,1,Electronic check,99.75,99.75,3.325
0111-KLBQG,0,1,1,1,1,32,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,0,1,Mailed check,93.95,2861.45,2.980677083333333
0112-QAWRZ,0,1,0,1,1,16,1,Yes,Fiber optic,No,No,Yes,No,Yes,No,0,1,Bank transfer (automatic),90.8,1442.2,3.0045833333333336
0112-QWPNC,1,1,0,1,0,49,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,1,0,Electronic check,84.35,4059.35,2.7614625850340135
0114-IGABW,0,0,0,1,0,71,0,No,DSL,No,Yes,Yes,Yes,Yes,Yes,2,0,Bank transfer (automatic),58.25,4145.9,1.946431924882629
0114-PEGZZ,0,0,0,0,0,33,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,0,0,Electronic check,107.55,3645.5,3.6823232323232324
0114-RSRRW,0,0,0,1,0,10,1,No,No,No,No,No,No,No,No,0,1,Bank transfer (automatic),19.95,187.75,0.6258333333333334
0115-TFERT,1,1,0,1,0,21,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,0,1,Electronic check,111.2,2317.1,3.677936507936508
0117-LFRMW,1,1,0,1,1,37,0,No,DSL,Yes,Yes,Yes,No,No,No,0,0,Bank transfer (automatic),40.2,1448.8,1.3052252252252252
0118-JPNOY,0,0,1,0,0,26,1,No,Fiber optic,Yes,No,No,No,Yes,No,0,1,Credit card (automatic),85.8,2193.65,2.812371794871795
0121-SNYRK,0,1,0,0,0,50,0,No,DSL,Yes,No,No,Yes,No,No,1,1,Mailed check,35.4,1748.9,1.1659333333333335
0122-OAHPZ,1,0,0,0,0,7,1,Yes,Fiber optic,No,No,No,No,No,No,0,1,Electronic check,73.85,511.25,2.4345238095238093
0123-CRBRT,0,0,0,1,1,61,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2,0,Mailed check,88.1,5526.75,3.0200819672131147
0125-LZQXK,1,1,0,0,0,15,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,0,1,Electronic check,101.35,1553.95,3.453222222222222
0128-MKWSG,0,0,0,0,1,26,0,No,DSL,Yes,No,No,Yes,No,Yes,0,0,Mailed check,45.8,1147.0,1.4705128205128206
0129-KPTWJ,0,1,0,1,0,72,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,0,1,Electronic check,94.65,6747.35,3.1237731481481483
0129-QMPDR,0,1,0,1,1,44,1,No,No,No,No,No,No,No,No,1,1,Bank transfer (automatic),20.5,865.05,0.655340909090909
0130-SXOUN,0,1,0,0,0,66,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,0,0,Credit card (automatic),89.4,5976.9,3.0186363636363636
0133-BMFZO,1,0,0,0,0,2,1,No,Fiber optic,Yes,Yes,No,Yes,No,No,0,1,Electronic check,86.25,181.65,3.0275000000000003
0134-XWXCE,0,0,1,0,0,44,1,No,DSL,No,No,Yes,Yes,Yes,Yes,1,0,Bank transfer (automatic),74.85,3268.05,2.475795454545455
0135-NMXAP,1,0,0,0,0,12,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,0,1,Bank transfer (automatic),89.75,1052.4,2.923333333333334
0136-IFMYD,0,1,1,1,0,69,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,2,1,Electronic check,109.95,7634.25,3.6880434782608695
0137-OCGAB,1,0,0,0,0,1,1,Yes,Fiber optic,No,Yes,No,No,No,No,0,1,Mailed check,80.2,80.2,2.6733333333333333
0137-UDEUO,1,0,0,0,0,3,1,No,No,No,No,No,No,No,No,0,0,Mailed check,19.85,63.75,0.7083333333333334
0139-IVFJG,0,0,0,1,0,2,1,No,Fiber optic,Yes,Yes,No,No,Yes,No,0,0,Electronic check,90.35,190.5,3.175
0141-YEAYS,0,0,1,0,0,27,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,0,1,Bank transfer (automatic),86.45,2401.05,2.9642592592592596
0142-GVYSN,0,1,0,0,0,26,1,No,No,No,No,No,No,No,No,0,1,Electronic check,20.3,511.25,0.655448717948718
0147-ESWWR,0,0,1,1,0,39,1,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,0,1,Electronic check,101.25,3949.15,3.3753418803418804
0148-DCDOS,1,1,0,0,0,25,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,0,1,Bank transfer (automatic),94.7,2362.1,3.1494666666666666
0151-ONTOV,1,0,0,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,0,0,Mailed check,70.9,70.9,2.3633333333333337
0156-FVPTA,1,1,0,1,0,22,1,No,DSL,Yes,No,No,Yes,No,No,0,1,Electronic check,54.2,1152.7,1.7465151515151516
0164-APGRB,0,0,0,0,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,2,1,Electronic check,114.9,8496.7,3.9336574074074075
0164-XAIRP,0,0,0,0,0,24,1,No,No,No,No,No,No,No,No,2,1,Bank transfer (automatic),19.55,470.2,0.6530555555555555
0168-XZKBB,0,0,0,1,0,19,1,Yes,Fiber optic,No,No,No,No,Yes,No,0,1,Electronic check,86.85,1564.4,2.744561403508772
0174-QRVVY,0,1,0,1,1,71,1,Yes,No,No,No,No,No,No,No,2,0,Credit card (automatic),25.35,1847.55,0.8673943661971831
0177-PXBAT,0,1,1,1,0,33,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,0,1,Bank transfer (automatic),109.9,3694.7,3.732020202020202
0178-CIIKR,0,0,0,0,0,3,1,No,No,No,No,No,No,No,No,0,0,Mailed check,19.95,58.0,0.6444444444444445
0178-SZBHO,0,1,0,1,1,47,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,0,0,Electronic check,87.2,4017.45,2.849255319148936
0181-RITDD,0,1,0,1,1,62,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,2,0,Mailed check,108.15,6825.65,3.6697043010752686
0186-CAERR,0,1,0,0,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,1,1,Bank transfer (automatic),116.3,8309.55,3.901197183098591
0187-QSXOE,0,1,1,1,0,7,1,No,Fiber optic,No,No,No,No,Yes,Yes,0,1,Electronic check,89.0,605.45,2.883095238095238
0187-WZNAB,0,0,0,1,1,27,1,No,Fiber optic,Yes,No,No,No,No,No,0,0,Mailed check,74.4,1972.35,2.435
0188-GWFLE,0,1,0,0,0,2,1,No,No,No,No,No,No,No,No,0,0,Mailed check,20.05,33.7,0.5616666666666668
0191-EQUUH,0,0,0,0,1,25,0,No,DSL,Yes,No,No,Yes,No,No,2,0,Bank transfer (automatic),35.05,844.45,1.1259333333333335
0191-ZHSKZ,0,1,1,0,0,30,1,No,DSL,Yes,Yes,No,No,Yes,Yes,0,1,Electronic check,74.75,2111.3,2.345888888888889
0193-ESZXP,1,0,1,1,0,58,1,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,1,1,Credit card (automatic),105.5,6205.5,3.5663793103448276
0195-IESCP,1,1,0,1,0,10,1,Yes,Fiber optic,No,No,No,No,No,Yes,0,1,Electronic check,85.25,855.3,2.851
0196-JTUQI,0,0,0,0,0,9,1,Yes,Fiber optic,No,No,No,No,No,No,0,1,Credit card (automatic),75.2,633.85,2.347592592592593
0196-VULGZ,1,0,1,1,0,6,1,Yes,Fiber optic,No,No,No,No,No,Yes,0,1,Electronic check,84.35,474.9,2.638333333333333
0197-PNKNK,0,0,0,1,1,69,1,Yes,Fiber optic,Yes,No,Yes,No,No,No,1,0,Bank transfer (automatic),84.45,5848.6,2.825410628019324
0201-MIBOL,0,0,1,0,0,66,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,2,1,Bank transfer (automatic),102.4,6471.85,3.2686111111111114
0201-OAMXR,1,0,0,0,0,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,1,0,Credit card (automatic),115.55,8127.6,3.8702857142857146
0203-HHYIJ,1,1,0,0,0,25,1,Yes,No,No,No,No,No,No,No,1,0,Bank transfer (automatic),25.3,676.35,0.9018
0206-OYVOC,0,0,0,1,1,46,1,No,No,No,No,No,No,No,No,2,1,Mailed check,19.25,864.2,0.626231884057971
0206-TBWLC,0,0,0,1,0,54,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,1,1,Mailed check,114.65,6049.5,3.734259259259259
0207-MDKNV,1,0,0,0,0,15,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,0,0,Electronic check,105.1,1582.75,3.5172222222222222
0208-BPQEJ,0,0,0,1,1,12,1,No,No,No,No,No,No,No,No,0,0,Bank transfer (automatic),19.4,198.1,0.5502777777777778
0212-ISBBF,0,0,0,0,0,22,0,No,DSL,No,Yes,No,No,Yes,Yes,0,1,Electronic check,50.35,1098.85,1.6649242424242423
0214-JHPFW,0,0,0,1,0,70,0,No,DSL,No,Yes,Yes,Yes,Yes,Yes,2,0,Bank transfer (automatic),57.8,4039.3,1.9234761904761906
0215-BQKGS,0,1,0,0,0,30,1,No,Fiber optic,Yes,Yes,Yes,No,No,No,0,1,Credit card (automatic),84.3,2438.6,2.7095555555555553
0218-QNVAS,0,1,0,1,1,71,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,1,0,Bank transfer (automatic),100.55,7113.75,3.339788732394366
0219-QAERP,0,1,0,1,0,30,1,No,No,No,No,No,No,No,No,1,0,Credit card (automatic),19.8,576.65,0.6407222222222222
0219-YTZUE,1,1,0,1,1,4,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,0,1,Bank transfer (automatic),84.8,371.9,3.0991666666666666
0220-EBGCE,1,1,0,0,0,2,1,No,Fiber optic,No,No,Yes,No,No,Yes,0,1,Electronic check,85.85,167.3,2.7883333333333336
0221-NAUXK,0,1,0,0,1,10,1,No,No,No,No,No,No,No,No,1,1,Bank transfer (automatic),19.95,219.5,0.7316666666666667
0221-WMXNQ,0,1,1,0,0,4,1,No,Fiber optic,Yes,No,No,No,No,No,0,0,Electronic check,75.35,273.4,2.2783333333333333
0222-CNVPT,0,1,1,0,0,52,0,No,DSL,Yes,No,No,No,Yes,Yes,0,1,Credit card (automatic),48.8,2555.05,1.6378525641025643
0224-HJAPT,1,1,0,0,0,5,1,Yes,DSL,No,No,No,No,No,No,0,0,Electronic check,47.15,223.15,1.4876666666666667
0224-NIJLP,0,1,0,1,1,8,1,No,No,No,No,No,No,No,No,2,0,Mailed check,20.15,165.5,0.6895833333333333
0224-RLWWD,0,0,1,0,0,2,1,No,DSL,No,No,No,No,No,No,0,1,Electronic check,44.3,89.3,1.4883333333333333
0225-ZORZP,0,1,0,0,0,3,1,No,Fiber optic,No,Yes,No,No,No,Yes,0,0,Electronic check,84.3,235.05,2.611666666666667
0228-MAUWC,0,1,0,0,0,19,1,Yes,DSL,No,No,Yes,Yes,No,No,0,0,Electronic check,59.55,1144.6,2.008070175438596
0229-LFJAF,0,1,0,0,0,72,1,Yes,DSL,Yes,Yes,Yes,Yes,No,No,2,0,Bank transfer (automatic),69.65,4908.25,2.272337962962963
0230-UBYPQ,0,1,1,1,0,63,0,No,DSL,Yes,No,No,Yes,No,No,1,0,Bank transfer (automatic),36.1,2298.9,1.2163492063492063
0230-WEQUW,0,1,0,1,0,66,0,No,DSL,Yes,Yes,Yes,Yes,Yes,No,2,1,Bank transfer (automatic),56.6,3789.2,1.9137373737373737
0231-LXVAP,1,1,0,0,0,1,1,No,Fiber optic,No,No,No,Yes,No,No,0,1,Electronic check,75.9,75.9,2.5300000000000002
0233-FTHAV,0,0,0,0,0,60,1,Yes,Fiber optic,No,No,Yes,No,No,No,1,1,Bank transfer (automatic),79.2,4765.0,2.647222222222222
0234-TEVTT,0,0,0,1,1,48,0,No,DSL,Yes,No,Yes,No,No,Yes,1,0,Credit card (automatic),45.0,2196.3,1.5252083333333335
0235-KGSLC,1,0,0,0,0,1,1,No,Fiber optic,No,No,Yes,No,Yes,No,0,1,Credit card (automatic),85.55,85.55,2.8516666666666666
0236-HFWSV,1,1,0,0,0,15,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,0,1,Electronic check,93.35,1444.65,3.2103333333333337
0237-YFUTL,0,0,0,1,0,50,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,0,1,Bank transfer (automatic),109.65,5405.8,3.6038666666666668
0238-WHBIQ,0,1,0,1,1,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2,0,Credit card (automatic),89.7,6339.3,2.934861111111111
0239-OXEXL,0,0,0,0,0,46,1,Yes,Fiber optic,Yes,Yes,No,No,No,No,0,0,Mailed check,84.25,3847.6,2.7881159420289854
0244-LGNFY,0,0,0,1,1,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2,0,Bank transfer (automatic),92.65,6733.0,3.1171296296296296
0247-SLUJI,0,1,0,1,1,1,1,No,No,No,No,No,No,No,No,0,0,Mailed check,19.7,19.7,0.6566666666666666
0248-IPDFW,0,0,0,0,0,1,1,Yes,DSL,No,No,No,No,No,No,0,1,Electronic check,50.1,50.1,1.6700000000000002
0248-PGHBZ,0,0,1,0,0,67,1,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,2,1,Bank transfer (automatic),92.45,6140.85,3.0551492537313436
0253-ZTEOB,0,0,0,1,1,48,1,Yes,DSL,No,Yes,No,Yes,Yes,Yes,2,0,Electronic check,79.65,3870.3,2.6877083333333336
0254-FNMCI,0,0,0,0,0,72,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,2,1,Electronic check,109.9,7624.2,3.529722222222222
0254-KCJGT,0,1,0,1,0,52,1,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,1,1,Credit card (automatic),81.4,4354.45,2.7913141025641024
0254-WWRKD,0,0,0,1,1,67,1,No,DSL,No,Yes,No,No,No,No,1,0,Credit card (automatic),50.55,3431.75,1.7073383084577114
0256-LTHVJ,1,0,0,1,1,28,1,No,Fiber optic,No,No,No,No,No,Yes,0,1,Electronic check,81.05,2227.1,2.6513095238095237
0257-KXZGU,0,0,0,1,1,32,1,Yes,DSL,No,Yes,Yes,No,No,No,0,0,Bank transfer (automatic),62.45,2045.55,2.13078125
0257-ZESQC,1,0,1,1,0,27,1,No,Fiber optic,Yes,No,No,No,No,No,0,1,Bank transfer (automatic),75.2,1929.35,2.3819135802469136
0258-NOKBL,0,1,0,0,0,3,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,0,0,Electronic check,90.4,268.45,2.9827777777777778
0259-GBZSH,1,1,0,0,0,2,1,Yes,Fiber optic,No,No,No,No,Yes,No,0,1,Electronic check,85.65,181.5,3.025
0260-ZDLGK,1,0,0,0,1,9,1,No,DSL,No,No,Yes,Yes,Yes,Yes,0,1,Mailed check,72.9,651.4,2.4125925925925924
0263-FJTQO,0,1,0,1,1,50,1,Yes,DSL,Yes,No,No,Yes,Yes,No,2,1,Credit card (automatic),70.5,3486.65,2.3244333333333334
0264-CNITK,0,0,0,1,1,71,1,No,No,No,No,No,No,No,No,2,0,Bank transfer (automatic),20.1,1389.6,0.652394366197183
0265-EDXBD,1,1,1,1,0,32,1,Yes,Fiber optic,No,No,No,No,No,No,0,1,Electronic check,74.9,2303.35,2.3993229166666667
0265-PSUAE,0,0,0,1,1,16,1,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,0,0,Bank transfer (automatic),100.7,1522.7,3.1722916666666667
0266-CLZKZ,0,0,0,1,1,67,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,2,1,Bank transfer (automatic),105.65,6717.9,3.342238805970149
0266-GMEAO,0,1,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,2,1,Credit card (automatic),114.3,8058.55,3.7308101851851854
0268-QKIWO,1,0,0,0,0,3,1,No,No,No,No,No,No,No,No,0,0,Electronic check,19.75,58.85,0.6538888888888889
0269-XFESX,0,1,0,1,1,23,1,Yes,No,No,No,No,No,No,No,1,0,Mailed check,24.35,538.5,0.7804347826086957
0270-THENM,0,1,0,1,1,72,1,Yes,DSL,Yes,Yes,Yes,Yes,No,No,2,0,Bank transfer (automatic),69.85,5102.35,2.3621990740740744
0274-JKUJR,0,1,0,1,1,7,0,No,DSL,Yes,Yes,Yes,No,Yes,Yes,0,0,Mailed check,58.85,465.7,2.2176190476190474
0277-BKSQP,0,1,0,1,1,8,1,No,DSL,No,No,No,No,Yes,No,0,1,Electronic check,54.4,475.1,1.9795833333333335
0277-ORXQS,0,1,0,1,1,66,0,No,DSL,No,No,No,Yes,Yes,Yes,2,0,Bank transfer (automatic),50.55,3364.55,1.6992676767676769
0278-YXOOG,1,1,0,0,0,5,1,No,No,No,No,No,No,No,No,0,0,Mailed check,21.05,113.85,0.759
0280-XJGEX,1,1,0,0,0,49,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,0,1,Bank transfer (automatic),103.7,5036.3,3.4260544217687077
0281-CNTZX,0,1,0,1,0,63,1,No,No,No,No,No,No,No,No,2,1,Bank transfer (automatic),19.95,1234.8,0.6533333333333333
0282-NVSJS,0,0,1,1,1,12,0,No,DSL,No,No,No,Yes,No,No,0,1,Mailed check,29.3,355.9,0.988611111111111
